name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
"EVEN Hotel New York - Midtown East, an IHG Hotel",239,239,False,8.1,Very good,"1,308",4.0,False,"Midtown East, New York",2.0,9.3,1 extra-large double bed,Standard King Room with Accessible Tub - Mobility Access,False,False,True,13,1,2025-02-03
NoMo SoHo,321,321,False,7.7,Good,"1,410",4.0,False,"SoHo, New York",5.6,,1 large double bed,Classic Queen,False,False,True,13,1,2025-02-03
Sixty LES,251,251,False,7.7,Good,848,4.0,False,"Lower East Side, New York",5.2,,1 large double bed,Queen Studio,False,True,True,13,1,2025-02-03
Renaissance New York Chelsea Hotel,266,266,False,8.1,Very good,"1,199",4.0,False,"Chelsea, New York",2.8,,1 extra-large double bed,"Guest Room, 1 King",False,True,False,13,1,2025-02-03
Hampton Inn by Hilton New York Times Square,312,312,False,7.8,Good,"2,432",3.0,False,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room with Roll-In Shower - Mobility Access,True,False,True,13,1,2025-02-03
Moxy NYC Downtown,197,197,False,8.1,Very good,"2,004",4.0,False,"Manhattan, New York",6.7,,1 large double bed,Queen Room,False,False,True,13,1,2025-02-03
Courtyard New York Manhattan/Midtown East,197,197,False,8.0,Very good,"1,625",4.0,False,"Midtown East, New York",1.6,,"2 beds (1 extra-large double, 1 sofa bed)",Larger Deluxe King Room with Sofa Bed,False,False,True,13,1,2025-02-03
The Benjamin Royal Sonesta New York,296,296,False,8.1,Very good,844,5.0,False,"Midtown East, New York",1.5,,1 extra-large double bed,Deluxe King Studio,False,True,False,13,1,2025-02-03
Tempo By Hilton New York Times Square,389,389,False,8.5,Very good,848,4.0,False,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room with City View,False,False,True,13,1,2025-02-03
The Herald by LuxUrban,309,232,True,7.7,Good,"8,956",3.0,False,"Manhattan, New York",2.0,9.6,1 extra-large double bed,King Room with Roll-in Shower - Mobility Access/Non-Smoking,False,False,True,13,1,2025-02-03
citizenM New York Times Square,243,243,False,8.7,Fabulous,"3,999",4.0,False,"Manhattan, New York",0.8,9.6,1 extra-large double bed,King Room,False,True,True,13,1,2025-02-03
"Kimpton Theta New York - Times Square, an IHG Hotel",257,257,False,8.1,Very good,"1,492",5.0,False,"Manhattan, New York",0.9,,1 extra-large double bed,King Room,False,True,False,13,1,2025-02-03
"Club Quarters Hotel World Trade Center, New York",178,178,False,8.3,Very good,"4,091",4.0,False,"Manhattan, New York",7.0,9.4,1 large double bed,Small Queen Room,False,False,True,13,1,2025-02-03
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,157,157,False,8.3,Very good,"5,045",3.0,False,"Manhattan, New York",7.7,,1 extra-large double bed,King Room,False,False,True,13,1,2025-02-03
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",233,233,False,8.7,Fabulous,"1,176",3.0,False,"Midtown East, New York",1.5,9.5,1 double bed,One Double Room with Garden View,False,True,False,13,1,2025-02-03
Executive Hotel Le Soleil New York,303,303,False,8.6,Fabulous,"4,537",4.0,False,"Manhattan, New York",2.0,9.5,1 large double bed,Executive Queen Room,False,True,True,13,1,2025-02-03
Cambria Hotel New York - Chelsea,249,249,False,7.9,Good,"4,003",4.0,False,"Chelsea, New York",2.5,,1 extra-large double bed,King Room - Disability Access,False,False,True,13,1,2025-02-03
